Variavel,Importancia
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora",0.0012596337
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Freezer, Garagem",0.0012543217
TX_RESP_Q12_Freezer,0.0012506236
"TX_RESP_Q12_Quarto, Aspirador, Lavadora, Freezer, Garagem",0.0012456843
"TX_RESP_Q12_Quarto, Freezer, Garagem",0.0012450229
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.0012440128
"TX_RESP_Q06_Mãe ou Madrasta, Pai ou Padrasto, Irmão(s) ou Irmã(s)",0.0012434307
TX_RESP_Q11d_1,0.0012389955
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Freezer, Garagem",0.0012354142
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora, Freezer, Garagem",0.0012347543
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora, Garagem",0.0012345335
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador",0.001227744
"TX_RESP_Q12_Mesa, Microondas, Lavadora",0.0012244998
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas",0.0012204738
"TX_RESP_Q12_Wi-Fi, Lavadora, Garagem",0.0012203339
"TX_RESP_Q12_Quarto, Mesa, Lavadora, Garagem",0.0012183893
"TX_RESP_Q12_Wi-Fi, Microondas, Freezer",0.0012138787
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Lavadora",0.0012138531
TX_RESP_Q20c_Menos de 1 hora,0.001211144
TX_RESP_Q16_6 ou 7 anos,0.0012107259
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora, Freezer, Garagem",0.0012080438
"TX_RESP_Q12_Quarto, Freezer",0.0012049765
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Garagem",0.001203784
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora, Garagem",0.0011976939
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas",0.0011972195
"TX_RESP_Q12_Wi-Fi, Microondas, Lavadora, Garagem",0.0011953939
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora",0.0011907947
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Lavadora",0.001187221
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora, Freezer",0.001186563
"TX_RESP_Q12_Mesa, Freezer",0.0011863256
